ID,YEAR,MONTH,DATE,TIME,TRAIN_ID,LINE_ID,PLACE_ID,ST1_ID,ST2_ID,DELAY_ID,OPERATOR,CAUSE_ID,DETAIL
36,2021,เมษายน,2021-04-01,20.1,34,3,1,BL19,,B,BEM,8,เวลา 20.10 น. ขบวนรถไฟฟ้าหมายเลข 34 เกิดเหตุระบบอาณัติสัญญาณของขบวนรถขัดข้อง ที่สถานีศูนย์วัฒนธรรมแห่งประเทศไทย ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 2 นาที โดยมีขบวนรถให้บริการทดแทน
37,2021,เมษายน,2021-04-02,9.41,67,1,1,N21,,C,BTS,3,09.41 ขบวนรถหมายเลข 67 ประตูขัดข้อง ที่สถานีโรงพยาบาลภูมิพลอดุลยเดช ฝั่งมุ่งหน้าสถานีปลายทางคูคต ไม่สามารถแก้ไขได้ ทำการเปลี่ยนถ่ายผู้โดยสาร มีผลทำให้เกิดความล่าช้า 7 นาที
38,2021,เมษายน,2021-04-04,13.18,,1,2,N23,N22,O,BTS,9,"13.18  เนื่องจากมีสิ่งกีดขวางเส้นทางการเดินรถระหว่างสถานีแยก คปอ.กับสถานีพิพิธภัณฑ์กองทัพอากาศ จึงปรับรูปแบบการเดินรถ  โดยจัดรถไฟฟ้าวิ่งให้บริการจากสถานีคูคตถึงสถานีปลายทางเคหะฯ ซึ่งสถานีสะพานใหม่ สถานีโรงพยาบาลภูมิพลอดุลยเดช และสถานีพิพิธภัณฑ์กองทัพอากาศ จะใช้ชานชาลาฝั่งมุ่งหน้าสถานีปลายทางคูคตฝั่งเดียวในการให้บริการ
   13.48 สิ่งกีดขวางเส้นทางการเดินรถระหว่างสถานีแยก คปอ.กับสถานีพิพิธภัณฑ์กองทัพอากาศ เจ้าหน้าที่ได้นำออกเรียบร้อย การเดินรถในสายสุขุมวิท สามารถเดินรถได้ตามปกติ"
39,2021,เมษายน,2021-04-05,6.48,50,1,1,N24,,O,BTS,2,"06.48 ขบวนรถไฟฟ้าหมายเลข 50 ระบบเบรกขัดข้องที่สถานีคูคต ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ ทำการแก้ไขเรียบร้อย และการเดินรถในสายสุขุมวิทสามารถเดินรถได้ตามปกติ
"
40,2021,เมษายน,2021-04-05,8.51,67,2,1,S5,,O,BTS,8,"08.51 ขบวนรถไฟฟ้าหมายเลข 67 ระบบสื่อสารขัดข้องก่อนเข้าสถานีสุรศักดิ์ ฝั่งมุ่งหน้าสถานีปลายทางบางหว้า ศูนย์ควบคุมรถไฟฟ้าจึงทำการจัดเส้นทางการเดินรถให้อีกครั้ง, หลังจากนั้นขบวนรถสามารถเคลื่อนที่ได้ และการเดินรถในสายสีลมสามารถเดินรถได้ตามปกติ"
41,2021,เมษายน,2021-04-08,10.15,Express03,4,1,A1,,B,SRTET,1,เวลา 10.15 น. Express03 เกิดระบบขับเคลื่อนขัดข้องทำการขนถ่ายผู้โดยสารที่สถานีสุวรรณภูมิและมีรถไฟให้บริการทดแทน มีผลรถไฟล่าช้าจากตารางเวลา 5 นาที
42,2021,เมษายน,2021-04-09,20.49,30,3,1,BL13,,B,BEM,1,เวลา 20.49 น. ขบวนรถไฟฟ้าหมายเลข 30 เกิดเหตุระบบขับเคลื่อนรถไฟฟ้าอัตโนมัติขัดข้อง จำนวน 1 ขบวน กำลังออกจากสถานี จตุจักร ฝั่งขาขึ้น (สถานีปลายทางท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 2 นาที
43,2021,เมษายน,2021-04-10,17.53,,1,1,N22,,O,BTS,9,"17.53 เนื่องจากมีสิ่งกีดขวางเส้นทางการเดินรถที่สถานีพิพิธภัณฑ์กองทัพอากาศ ฝั่งมุ่งหน้าสถานีปลายทางคูคต จึงปรับรูปแบบการเดินรถ โดยจัดรถไฟฟ้าวิ่งให้บริการจากสถานีคูคตถึงสถานีปลายทางเคหะฯ ซึ่งสถานีคูคต สถานีแยก คปอ. สถานีพิพิธภัณฑ์กองทัพอากาศ สถานีโรงพยาบาลภูมิพลอดุลยเดช ใช้ชานชาลาฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ ฝั่งเดียวในการให้บริการ
18.22 สิ่งกีดขวางเส้นทางการเดินรถที่สถานีพิพิธภัณฑ์กองทัพอากาศ ฝั่งมุ่งหน้าสถานีปลายทางคูคต เจ้าหน้าที่ทำการแก้ไขเรียบร้อย การเดินรถในสายสุขุมวิท สามารถเดินรถได้ตามปกติ"
44,2021,เมษายน,2021-04-12,18.41,40,2,1,S10,,O,BTS,14,18.41 ขบวนรถหมายเลข 40 ขัดข้องที่สถานีตลาดพลู ฝั่งมุ่งหน้าสถานีปลายทางสนามกีฬาแห่งชาติ ทำการถ่ายผู้โดยสารที่สถานีและนำขบวนออกจากการให้บริการ
45,2021,เมษายน,2021-04-14,7.17,28,3,1,BL25,,B,BEM,2,"เวลา 7.17 น. ขบวนรถไฟฟ้าหมายเลข 28 เกิดเหตุระบบแรงดันลมขัดข้อง ที่สถานีลุมพินี ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 1 นาที โดยมีขบวนรถให้บริการทดแทน
-สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ"
